Weight,ID,starttime,endtime,profile_GOR,profile_gross_household,responsible,consent,squarefootage,bedrooms,whenbuilt,profile_house_tenure,address_change_time,profile_household_size,under16sinhousehold,over75sinhousehold,EPCrating,SchemesAwareness_1,SchemesAwareness_2,SchemesAwareness_3,SchemesAwareness_4,SchemesAwareness_5,SchemesAwareness_6,SchemesAwareness_7,CircumstancesLikelihood_1,CircumstancesLikelihood_2,CircumstancesLikelihood_3,CircumstancesLikelihood_4,CircumstancesLikelihood_5,AdoptionLikelihood,AdoptionLikelihood_1,AdoptionLikelihood_2,AdoptionLikelihood_3,AdoptionLikelihood_4,AdoptionLikelihood_5,adoptedmeasures_1,adoptedmeasures_2,adoptedmeasures_3,adoptedmeasures_4,adoptedmeasures_5,adoptedmeasures_6,adoptedmeasures_7,adoptedmeasures_8,adoptedmeasures_9,adoptedmeasures_10,adoptedmeasures_11,adoptedmeasures_12,adoptedmeasures_13,adoptedmeasures_14,house_type,housetype_nomiss,_mi_miss,_1_house_type2,_1_whenbuilt2,_1_bedrooms,_1_hhsize,_1_old75,_1_minor16,_1_income,_1_address_change_time,age,profile_gender,profile_socialgrade,profile_education_level,pastvote_ge_2019,_merge15,income,tenure,minor16,old75,hhsize,whenbuilt2,awarenessum,house_type2,treated,treatedsum,sumlowcost,lowcostdummy,sumhighcost,highcostdummy,treatedmulti
1.812680008,1825,7/26/2022,7/26/2022,7,14.0,1,1,4,4.0,2,2,7,1,1,1,9,0,1,0,0,1,0,0,6,8,8,4,6,1,8,7,10,9,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,,1,2.0857382,2.0,4.0,1.0,0.0,0.0,14.0,7.0,47,1,3,17,1.0,Matched (3),14.0,1.0,0,0,1.0,2.0,2,,1,2,1,1,1,1,3.0
0.536139865,1826,7/28/2022,7/28/2022,5,17.0,1,1,2,5.0,1,4,2,3,1,1,4,0,1,0,0,0,0,0,6,8,8,4,6,1,6,5,8,9,6,1,0,1,0,0,0,1,0,0,0,0,0,1,0,3.0,Terraced,1,3.0,1.0,5.0,3.0,0.0,0.0,8.590721,2.0,22,1,6,15,,Matched (3),,2.0,0,0,3.0,1.0,1,3.0,1,4,2,1,2,1,3.0
1.633438833,1827,7/31/2022,7/31/2022,8,11.0,1,1,2,3.0,2,2,7,2,1,1,4,0,0,0,0,1,1,0,6,6,8,5,3,1,7,6,8,6,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2.0,Semi detached,0,2.0,2.0,3.0,2.0,0.0,0.0,11.0,7.0,48,1,3,16,1.0,Matched (3),11.0,1.0,0,0,2.0,2.0,2,2.0,1,2,1,1,1,1,3.0
0.532372465,1828,7/31/2022,7/31/2022,3,5.0,1,1,6,4.0,2,4,6,2,1,3,9,0,1,0,0,0,1,0,6,7,7,6,6,1,7,6,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Semi detached,0,2.0,2.0,4.0,2.0,1.0,0.0,5.0,6.0,48,0,3,9,,Matched (3),5.0,2.0,0,1,2.0,2.0,2,2.0,0,0,0,0,0,0,0.0
0.967891231,1829,7/26/2022,7/27/2022,10,11.0,1,1,6,6.0,3,2,7,2,1,1,4,0,0,0,0,0,0,0,9,9,10,8,9,1,10,9,8,8,11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,Detached,0,1.0,3.0,6.0,2.0,0.0,0.0,11.0,7.0,55,1,1,16,2.0,Matched (3),11.0,1.0,0,0,2.0,3.0,0,1.0,1,2,1,1,1,1,3.0
0.952117763,1830,7/29/2022,7/29/2022,2,2.0,1,1,1,2.0,2,5,5,1,1,1,9,0,1,0,0,1,0,0,6,7,7,7,7,1,8,4,10,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,Bungalow,0,6.0,2.0,2.0,1.0,0.0,0.0,2.0,5.0,61,1,6,9,2.0,Matched (3),2.0,2.0,0,0,1.0,2.0,2,6.0,0,0,0,0,0,0,0.0
1.21893803,1831,7/29/2022,7/29/2022,2,17.0,1,1,6,3.0,2,2,7,1,1,1,9,0,0,0,0,0,0,0,7,6,6,7,7,1,6,7,8,7,3,1,1,0,0,0,0,1,0,0,0,0,0,1,0,,,1,4.6316843,2.0,3.0,1.0,0.0,0.0,12.140961,7.0,56,1,4,9,,Matched (3),,1.0,0,0,1.0,2.0,0,,1,4,2,1,2,1,3.0
1.28315997,1832,7/29/2022,7/29/2022,8,2.0,1,1,6,4.0,2,4,7,4,3,1,9,0,0,0,0,0,0,0,9,9,9,8,9,1,9,9,11,11,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0,Semi detached,0,2.0,2.0,4.0,4.0,0.0,1.0,2.0,7.0,37,0,6,9,,Matched (3),2.0,2.0,1,0,4.0,2.0,0,2.0,1,1,0,0,1,1,2.0
0.499604481,1833,7/27/2022,7/27/2022,8,16.0,1,1,6,3.0,2,6,2,4,1,1,5,0,0,0,0,0,0,0,8,11,10,8,6,1,6,1,11,11,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,1,7.5168004,2.0,3.0,4.0,0.0,0.0,10.074183,2.0,22,1,2,16,3.0,Matched (3),,2.0,0,0,4.0,2.0,0,,1,1,1,1,0,0,1.0
0.921374844,1835,7/26/2022,7/26/2022,5,13.0,1,1,4,5.0,4,2,7,5,4,1,1,1,1,0,0,0,1,0,7,6,7,7,8,1,7,6,7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Semi detached,0,2.0,4.0,5.0,5.0,0.0,1.0,13.0,7.0,33,1,1,15,2.0,Matched (3),13.0,1.0,1,0,5.0,4.0,3,2.0,0,0,0,0,0,0,0.0
1.066923637,1836,7/28/2022,7/28/2022,8,5.0,1,1,1,2.0,3,2,6,2,1,1,9,0,0,0,0,0,0,0,6,8,9,8,6,1,10,7,10,9,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,1,7.3458753,3.0,2.0,2.0,0.0,0.0,5.0,6.0,34,1,3,18,,Matched (3),5.0,1.0,0,0,2.0,3.0,0,,1,1,0,0,1,1,2.0
0.683916317,1837,7/26/2022,7/26/2022,2,2.0,1,1,6,4.0,5,3,4,1,2,1,9,0,1,0,0,0,1,0,11,11,5,11,11,1,6,5,11,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Semi detached,0,2.0,5.0,4.0,1.0,0.0,1.0,2.0,4.0,67,0,2,17,1.0,Matched (3),2.0,1.0,1,0,1.0,5.0,2,2.0,0,0,0,0,0,0,0.0
1.06192996,1838,7/26/2022,7/26/2022,4,13.0,1,1,3,4.0,5,2,5,2,1,1,9,0,0,0,0,1,1,0,7,8,8,5,6,1,8,8,9,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,2.55352,5.0,4.0,2.0,0.0,0.0,13.0,5.0,29,1,3,11,2.0,Matched (3),13.0,1.0,0,0,2.0,5.0,2,,0,0,0,0,0,0,0.0
0.546661869,1839,7/30/2022,7/30/2022,4,12.0,1,1,3,4.0,3,2,5,2,1,1,6,0,0,0,0,1,1,0,7,8,7,7,6,1,5,8,8,7,7,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1.0,Detached,0,1.0,3.0,4.0,2.0,0.0,0.0,12.0,5.0,38,0,3,9,,Matched (3),12.0,1.0,0,0,2.0,3.0,2,1.0,1,3,1,1,2,1,3.0
0.528857733,1840,7/26/2022,7/26/2022,8,16.0,1,1,6,3.0,3,4,4,3,1,1,9,1,1,0,0,1,0,0,8,8,8,8,8,1,7,8,10,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,Flat,1,5.0,3.0,3.0,3.0,0.0,0.0,5.803237,4.0,23,1,2,11,,Matched (3),,2.0,0,0,3.0,3.0,3,5.0,0,0,0,0,0,0,0.0
